Beta,0.0,34.0,68.0,102.0,136.0,170.0,204.0,238.0,272.0,306.0,340.0
90,28.54,81.82,134.94,186.0,235.22,278.41,312.19,337.78,358.44,376.29,391.83
95,11.77,65.02,117.92,168.74,217.72,260.7,294.34,319.85,340.47,358.29,373.81
100,-5.1,48.09,100.31,150.42,198.66,241.02,274.28,299.57,320.05,337.78,353.25
105,-21.77,31.31,82.42,131.39,178.43,219.77,252.39,277.32,297.58,315.16,330.55
110,-37.93,15.0,64.61,112.02,157.43,197.39,229.15,253.59,273.55,290.93,306.21
115,-53.28,-0.53,47.23,92.7,136.12,174.37,205.07,228.9,248.49,265.63,280.78
120,-67.52,-14.99,30.62,73.86,114.96,151.23,180.71,203.83,222.99,239.85,254.84
125,-80.41,-28.11,15.13,55.9,94.43,128.52,156.64,178.98,197.67,214.21,229.03
130,-91.67,-39.63,1.08,39.22,75.01,106.78,133.44,154.95,173.14,189.35,203.98
135,-101.11,-49.33,-11.23,24.2,57.17,86.53,111.7,132.35,150.01,165.88,180.33
140,-108.56,-57.03,-21.54,11.17,41.32,68.28,91.96,111.75,128.89,144.42,158.67
145,-113.87,-62.59,-29.63,0.45,27.86,52.49,74.72,93.69,110.32,125.51,139.58
150,-116.96,-65.92,-35.33,-7.72,17.12,39.57,60.44,78.63,94.79,109.66,123.56
155,-117.79,-66.96,-38.52,-13.15,9.38,29.85,49.49,66.97,82.71,97.3,111.04
160,-116.37,-65.73,-39.14,-15.69,4.83,23.59,42.17,59.05,74.41,88.76,102.37
165,-112.77,-62.27,-37.18,-15.3,3.59,20.98,38.7,55.08,70.15,84.29,97.8
170,-107.07,-56.69,-32.7,-11.97,5.72,22.09,39.18,55.2,70.04,84.04,97.46
175,-99.43,-49.12,-25.81,-5.79,11.18,26.92,43.62,59.42,74.12,88.04,101.41
180,-90.03,-39.74,-16.66,3.12,19.84,35.37,51.94,67.66,82.32,96.21,109.57
