0.00	0
0.10	15
0.25	30
0.50	50
0.80	75
0.98	100
1.15	150
1.24	200
1.33	300
1.42	500
1.51	1000
1.59	2000
1.63	3000
1.68	5000
1.77	10000
1.95	25000
 
