Theta_Elec_deg,Theta_Mech_deg,Theta_Elec_rad,Ia,Lambda_a,Lambda_b,Lambda_c,Laa,Lab,Lac
0.0,0.0,0.0,600.0,0.8098322291331772,-0.2523604179670316,-0.2527667811549997,0.0013497203818886286,-0.00042060069661171935,-0.00042127796859166614
10.0,2.5,0.17453292519943295,600.0,0.819389137514248,-0.3243515239346922,-0.1926201541444499,0.0013656485625237467,-0.000540585873224487,-0.00032103359024074986
20.0,5.0,0.3490658503988659,600.0,0.8465026315672165,-0.4022889260347555,-0.1453430080086963,0.0014108377192786942,-0.0006704815433912592,-0.00024223834668116048
29.999999999999996,7.499999999999999,0.5235987755982988,600.0,0.8813789126719057,-0.459328465310043,-0.1295901693091249,0.001468964854453176,-0.000765547442183405,-0.00021598361551520816
40.0,10.0,0.6981317007977318,600.0,0.92285902836112,-0.4923732000414295,-0.1457351427329125,0.0015380983806018668,-0.0008206220000690492,-0.00024289190455485416
50.0,12.5,0.8726646259971648,600.0,0.9700375362369591,-0.5060560262581063,-0.1830467871205094,0.0016167292270615986,-0.0008434267104301771,-0.00030507797853418235
59.99999999999999,14.999999999999998,1.0471975511965976,600.0,1.009968821782076,-0.5020250960399059,-0.2319951539419077,0.0016832813696367932,-0.0008367084933998431,-0.0003866585899031795
70.0,17.5,1.2217304763960306,600.0,1.041111977364805,-0.4785452048868676,-0.2898275489460417,0.0017351866289413416,-0.0007975753414781126,-0.00048304591491006945
80.0,20.0,1.3962634015954636,600.0,1.062315179466403,-0.4394648942386973,-0.3499517951920311,0.0017705252991106716,-0.0007324414903978288,-0.0005832529919867185
90.0,22.5,1.5707963267948966,600.0,1.069335736282678,-0.3984107575671169,-0.3984284452352062,0.0017822262271377969,-0.0006640179292785282,-0.0006640474087253437
100.0,25.0,1.7453292519943295,600.0,1.062317942590022,-0.3498840105845186,-0.439555629682292,0.0017705299043167034,-0.0005831400176408644,-0.0007325927161371534
110.0,27.5,1.9198621771937625,600.0,1.041186301701563,-0.2898337571672736,-0.4786174810430086,0.0017353105028359384,-0.00048305626194545604,-0.0007976958017383477
119.99999999999999,29.999999999999996,2.0943951023931953,600.0,1.010025749766975,-0.2319135561383399,-0.502133665938795,0.0016833762496116249,-0.00038652259356389984,-0.0008368894432313251
130.0,32.5,2.2689280275926285,600.0,0.970110732412094,-0.1829075657337929,-0.506218109625018,0.0016168512206868233,-0.00030484594288965485,-0.0008436968493750301
140.0,35.0,2.443460952792061,600.0,0.922976285974303,-0.1456685664121881,-0.4925080199301813,0.0015382938099571717,-0.00024278094402031348,-0.0008208466998836355
150.0,37.5,2.6179938779914944,600.0,0.8813808983745812,-0.1295222373992651,-0.4593935501845186,0.0014689681639576354,-0.00021587039566544185,-0.0007656559169741977
160.0,40.0,2.792526803190927,600.0,0.8464751699451034,-0.145300676525138,-0.4023097867843122,0.0014107919499085056,-0.00024216779420856334,-0.000670516311307187
170.0,42.5,2.9670597283903604,600.0,0.8193094467775259,-0.192381727340106,-0.3245278550425582,0.00136551574462921,-0.00032063621223351,-0.0005408797584042637
180.0,45.0,3.141592653589793,600.0,0.8098246757891131,-0.2523732938729434,-0.2527471104780547,0.0013497077929818552,-0.0004206221564549056,-0.00042124518413009116
